2023-11-03T20:33:35.502Z | WARN  |                       worker-3 |          o.c.i.SequencerServer | isServerReadyToHandleMsg: sequencer epoch:-1 != serverEpoch:0, version { corfu_source_code_version: 101374867581944 } request_id: 3 priority: HIGH cluster_id { lsb: -6967594695020567214 msb: 8076505419305930323 } client_id { lsb: -6987611035487940898 msb: 6495278135216128240 } ignore_epoch: true
2023-11-03T20:33:35.538Z | WARN  |                       worker-2 |          o.c.i.SequencerServer | isServerReadyToHandleMsg: sequencer epoch:-1 != serverEpoch:0, version { corfu_source_code_version: 101374867581944 } request_id: 3 cluster_id { lsb: -6967594695020567214 msb: 8076505419305930323 } client_id { lsb: -5698578227267060542 msb: -5858106355387710676 }
2023-11-03T20:33:35.719Z | WARN  |                       worker-0 |          o.c.i.SequencerServer | isServerReadyToHandleMsg: sequencer epoch:-1 != serverEpoch:0, version { corfu_source_code_version: 101374867581944 } request_id: 3 priority: HIGH cluster_id { lsb: -6967594695020567214 msb: 8076505419305930323 } client_id { lsb: -6499233499813474205 msb: -1793980073519198706 }
2023-11-03T20:33:35.721Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | Reset sequencer server.
2023-11-03T20:33:35.750Z | INFO  |              DetectionWorker-0 |   o.c.r.v.LayoutManagementView | reconfigureSequencerServers: Sequencer bootstrap successful.
2023-11-03T20:33:37.250Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[2a91](ts=Token(epoch=0, sequence=0))] conflict-key[[117, -72, 30, 41, -18, -70, 32, -99]](ts=2)
2023-11-03T20:34:29.347Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[9886](ts=Token(epoch=0, sequence=400))] conflict-key[[-99, 81, 30, -72, -3, -81, 63, 2]](ts=402)
2023-11-03T20:37:46.031Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[cf41](ts=Token(epoch=0, sequence=4720))] conflict-key[[23, 52, 16, -41, 117, -37, 103, -6]](ts=4728)
2023-11-03T20:48:48.116Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[eae8](ts=Token(epoch=0, sequence=10702))] conflict-key[[-126, 77, 70, -7, 114, -109, -102, 27]](ts=10731)
2023-11-03T20:56:54.850Z | WARN  |                       worker-2 |          o.c.i.SequencerServer | isServerReadyToHandleMsg: sequencer epoch:0 != serverEpoch:1, version { corfu_source_code_version: 101374867581944 } request_id: 27797 priority: HIGH cluster_id { lsb: -6967594695020567214 msb: 8076505419305930323 } client_id { lsb: -6347784624231268957 msb: 1243433971380473773 }
2023-11-03T20:56:54.850Z | WARN  |                       worker-0 |          o.c.i.SequencerServer | isServerReadyToHandleMsg: sequencer epoch:0 != serverEpoch:1, version { corfu_source_code_version: 101374867581944 } request_id: 153493 priority: HIGH cluster_id { lsb: -6967594695020567214 msb: 8076505419305930323 } client_id { lsb: -6499233499813474205 msb: -1793980073519198706 }
2023-11-03T20:56:54.861Z | WARN  |                       worker-3 |          o.c.i.SequencerServer | isServerReadyToHandleMsg: sequencer epoch:0 != serverEpoch:1, version { corfu_source_code_version: 101374867581944 } request_id: 224344 cluster_id { lsb: -6967594695020567214 msb: 8076505419305930323 } client_id { lsb: -5059752042437545570 msb: -3425700095174095993 }
2023-11-03T20:56:54.971Z | WARN  |                       worker-0 |          o.c.i.SequencerServer | isServerReadyToHandleMsg: sequencer epoch:0 != serverEpoch:1, version { corfu_source_code_version: 101374867581944 } request_id: 153503 priority: HIGH epoch: 1 cluster_id { lsb: -6967594695020567214 msb: 8076505419305930323 } client_id { lsb: -6499233499813474205 msb: -1793980073519198706 }
2023-11-03T20:56:54.972Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | Reset sequencer server.
2023-11-03T20:56:56.230Z | WARN  |                       worker-0 |          o.c.i.SequencerServer | isServerReadyToHandleMsg: sequencer epoch:1 != serverEpoch:2, version { corfu_source_code_version: 101374867581944 } request_id: 153614 priority: HIGH epoch: 1 cluster_id { lsb: -6967594695020567214 msb: 8076505419305930323 } client_id { lsb: -6499233499813474205 msb: -1793980073519198706 }
2023-11-03T20:56:56.273Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | Reset sequencer server.
2023-11-03T20:57:53.198Z | WARN  |                       worker-3 |          o.c.i.SequencerServer | isServerReadyToHandleMsg: sequencer epoch:2 != serverEpoch:3, version { corfu_source_code_version: 101374867581944 } request_id: 2825 priority: HIGH epoch: 2 cluster_id { lsb: -6967594695020567214 msb: 8076505419305930323 } client_id { lsb: -7013365902369413755 msb: -6809408507477408826 }
2023-11-03T20:57:53.267Z | WARN  |                       worker-0 |          o.c.i.SequencerServer | isServerReadyToHandleMsg: sequencer epoch:2 != serverEpoch:3, version { corfu_source_code_version: 101374867581944 } request_id: 160309 priority: HIGH epoch: 3 cluster_id { lsb: -6967594695020567214 msb: 8076505419305930323 } client_id { lsb: -6499233499813474205 msb: -1793980073519198706 }
2023-11-03T20:57:53.303Z | WARN  |                       worker-0 |          o.c.i.SequencerServer | isServerReadyToHandleMsg: sequencer epoch:2 != serverEpoch:3, version { corfu_source_code_version: 101374867581944 } request_id: 160310 priority: HIGH epoch: 3 cluster_id { lsb: -6967594695020567214 msb: 8076505419305930323 } client_id { lsb: -6499233499813474205 msb: -1793980073519198706 }
2023-11-03T20:57:53.313Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | Reset sequencer server.
2023-11-03T20:57:55.151Z | WARN  |                       worker-3 |          o.c.i.SequencerServer | isServerReadyToHandleMsg: sequencer epoch:3 != serverEpoch:4, version { corfu_source_code_version: 101374867581944 } request_id: 231664 epoch: 3 cluster_id { lsb: -6967594695020567214 msb: 8076505419305930323 } client_id { lsb: -5059752042437545570 msb: -3425700095174095993 }
2023-11-03T20:57:55.199Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | Reset sequencer server.
2023-11-03T20:57:55.199Z | WARN  |                       worker-0 |          o.c.i.SequencerServer | isServerReadyToHandleMsg: sequencer epoch:3 != serverEpoch:4, version { corfu_source_code_version: 101374867581944 } request_id: 160508 priority: HIGH epoch: 4 cluster_id { lsb: -6967594695020567214 msb: 8076505419305930323 } client_id { lsb: -6499233499813474205 msb: -1793980073519198706 }
2023-11-03T21:01:39.019Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[93fd](ts=Token(epoch=4, sequence=22851))] conflict-key[[74, 23, 46, 7, 58, 16, -16, 92]](ts=22852)
2023-11-03T21:03:46.375Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | trimCache: Starting cache eviction
2023-11-03T21:03:46.375Z | DEBUG |                    sequencer-0 |     o.c.i.SequencerServerCache | Invalidate sequencer cache. Trim mark: 85
